gene	sample	expression
SLC2A1	Normal_1	-2.77772696666667
NBPF14	Normal_1	-0.2243173
SPRR2C	Normal_1	-0.4169623
TSHZ2	Normal_1	0.5370483
ALDH3A1	Normal_1	-3.5837633
PEBP4	Normal_1	0.0922073
AKR1C3	Normal_1	-3.0350473
FMO2	Normal_1	1.5641343
PVRL4	Normal_1	0.0482363
FAM75A1	Normal_1	0.2521733
C1orf187	Normal_1	-1.0800883
COL1A1	Normal_1	-0.6642883
HBE1	Normal_1	-0.1992553
TP63	Normal_1	1.3436923
SFTPC	Normal_1	1.5215533
BBC3	Normal_1	-0.2722973
ALDH3B2	Normal_1	0.7723083
SPRR3	Normal_1	-1.0862013
S1PR1	Normal_1	0.3694953
KRT17	Normal_1	-0.7321653
ADRB1	Normal_1	0.2654373
KRT14	Normal_1	-1.2075613
SPRR2G	Normal_1	-0.3845843
LYPD3	Normal_1	-1.4422223
AKR1C2	Normal_1	-1.83036963333333
IGSF10	Normal_1	2.5774893
PVRL1	Normal_1	-1.2344653
SPRR1B	Normal_1	0.00386449999999999
WDR72	Normal_1	-0.6506353
FABP4	Normal_1	1.1176953
LOC100132639	Normal_1	-0.8836353
SERPINB3	Normal_1	-0.6126373
FGF11	Normal_1	-2.2042333
KRT13	Normal_1	-1.9585563
LOC729070	Normal_1	0.8237493
TTK	Normal_1	-2.4739313
GJB2	Normal_1	0.2521733
CLCA2	Normal_1	-0.1202943
PI4KAP1	Normal_1	0.6762673
PFN2	Normal_1	-2.4422223
SFTPH	Normal_1	2.2022613
EPAS1	Normal_1	-0.5063533
AGER	Normal_1	-0.4402633
LOC346085	Normal_1	-2.5228413
SFN	Normal_1	-1.8677523
DSG3	Normal_1	-0.186253
AQP4	Normal_1	2.5525963
KRT15	Normal_1	-1.0057823
MMP12	Normal_1	-0.5756153
CTHRC1	Normal_1	-1.2722973
ADH1B	Normal_1	1.8976283
PI3	Normal_1	-1.2209503
CDH5	Normal_1	0.0214803
SPRR1A	Normal_1	-0.9434163
AKR1B10	Normal_1	-3.5395203
PTPRZ1	Normal_1	-0.6989983
TENC1	Normal_1	0.1070183
MMP10	Normal_1	-0.6803823
ADH1C	Normal_1	1.3668123
COL3A1	Normal_1	-0.2532573
SCGB1A1	Normal_1	0.3538883
FHL1	Normal_1	1.1116993
SPP1	Normal_1	-2.0709673
LAD1	Normal_1	-0.4324553
CLDN18	Normal_1	1.2454963
CDCA5	Normal_1	-3.4900513
KRT16	Normal_1	-1.0770413
KRT5	Normal_1	-0.7321653
PERP	Normal_1	-0.8059133
NTS	Normal_1	-3.2108973
HPGD	Normal_1	0.7832473
MFAP4	Normal_1	-0.5311563
SLC2A1	Normal_2	-1.92136663333333
NBPF14	Normal_2	-0.4383073
SPRR2C	Normal_2	-0.0454313
TSHZ2	Normal_2	1.4222333
ALDH3A1	Normal_2	-2.9476978
PEBP4	Normal_2	0.7242143
AKR1C3	Normal_2	-2.3658713
FMO2	Normal_2	2.4165703
PVRL4	Normal_2	-0.1218633
FAM75A1	Normal_2	1.1959773
C1orf187	Normal_2	-1.2108973
COL1A1	Normal_2	-1.7226103
HBE1	Normal_2	0.4414833
TP63	Normal_2	0.5849633
SFTPC	Normal_2	1.5290713
BBC3	Normal_2	-0.4659383
ALDH3B2	Normal_2	-0.3940323
SPRR3	Normal_2	-0.6529013
S1PR1	Normal_2	1.3917108
KRT17	Normal_2	-0.7636603
ADRB1	Normal_2	0.3651333
KRT14	Normal_2	-1.3845843
SPRR2G	Normal_2	-0.0923403
LYPD3	Normal_2	-0.5269923
AKR1C2	Normal_2	-1.2083653
IGSF10	Normal_2	3.4454623
PVRL1	Normal_2	-0.7908593
SPRR1B	Normal_2	0.005838
WDR72	Normal_2	-0.3040063
FABP4	Normal_2	1.5415153
LOC100132639	Normal_2	0.0172093
SERPINB3	Normal_2	-0.3022263
FGF11	Normal_2	-1.9942413
KRT13	Normal_2	-1.1157883
LOC729070	Normal_2	1.9026523
TTK	Normal_2	-2.1202943
GJB2	Normal_2	-0.3183263
CLCA2	Normal_2	0.3459643
PI4KAP1	Normal_2	1.0683273
PFN2	Normal_2	-2.0709673
SFTPH	Normal_2	2.7079663
EPAS1	Normal_2	0.7899383
AGER	Normal_2	1.0292763
LOC346085	Normal_2	-2.2933593
SFN	Normal_2	-1.4305093
DSG3	Normal_2	-0.0839805
AQP4	Normal_2	2.4805468
KRT15	Normal_2	-0.5022603
MMP12	Normal_2	0.2797683
CTHRC1	Normal_2	-1.6170563
ADH1B	Normal_2	2.7735743
PI3	Normal_2	-0.4402633
CDH5	Normal_2	1.3357123
SPRR1A	Normal_2	-0.0923403
AKR1B10	Normal_2	-2.4035423
PTPRZ1	Normal_2	0.1978653
TENC1	Normal_2	1.5801453
MMP10	Normal_2	-0.4188903
ADH1C	Normal_2	2.1266433
COL3A1	Normal_2	-0.5437203
SCGB1A1	Normal_2	2.2818473
FHL1	Normal_2	1.7411433
SPP1	Normal_2	-3.4422223
LAD1	Normal_2	0.0271543
CLDN18	Normal_2	2.4974853
CDCA5	Normal_2	-2.4035423
KRT16	Normal_2	-1.0862013
KRT5	Normal_2	-0.3400753
PERP	Normal_2	-0.2567003
NTS	Normal_2	-2.6896603
HPGD	Normal_2	1.7141363
MFAP4	Normal_2	1.4441373
SLC2A1	Normal_3	-2.25940763333333
NBPF14	Normal_3	0.1110313
