gene	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5	Normal_6	Normal_7	Normal_8	Normal_9	Normal_10	Normal_11	Normal_12	Normal_13	Normal_14	Normal_15	Normal_16	Normal_17	Normal_18	Normal_19	Normal_20	Normal_21	Normal_22	Normal_23	Normal_24	Normal_25	Normal_26	Normal_27	Normal_28	Normal_29	Normal_30	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48
SLC2A1	-2.77772696666667	-1.92136663333333	-2.25940763333333	-1.4135533	-2.16064863333333	-1.99350463333333	-2.0887163	-1.46558196666667	-2.01754996666667	-2.14168563333333	-2.06275463333333	-1.85977596666667	-1.6076483	-1.95733696666667	-2.1882473	-2.0845653	-1.94597563333333	-1.4850393	-2.64950163333333	-1.58286457266667	-1.02496998366667	-1.61941941133333	-1.95941340366667	-1.824156623	-1.74613192766667	-1.015779559	-2.15676688366667	-1.52487019566667	-1.92333473266667	-1.58896653366667	0.490805808333333	3.78073800166667	2.11660712966667	2.09535232833333	2.291182372	0.952582749333333	1.033604595	2.29646601366667	-0.754376979333333	3.25840531833333	0.725871596	1.59741562833333	2.065542918	0.851018051	-0.883032656666667	1.67982101766667	0.157208212666667	2.329339282	1.435922046	-1.61994968166667	2.47654483566667	2.24799428533333	1.10480321266667	-0.373491372	1.18852787966667	1.08704182933333	0.514852156	1.63331466466667	2.94293438933333	2.25683598533333	0.478399129	2.34633093766667	2.24899530866667	3.165519457	0.353674303333333	2.29762890066667	1.70681413466667	0.772987283666667	2.43696915133333	2.29927193266667	1.42434340066667	2.63797471133333	3.39668571233333	2.96194198233333	2.72085341	1.62590199933333	3.240629703	2.750920141
NBPF14	-0.2243173	-0.4383073	0.1110313	2.0429943	-0.2025723	0.5028403	-0.2293823	1.3994453	1.3091763	-0.2810363	-0.1328943	0.1583373	-0.0892673	-0.4739313	0.3829443	-0.4208203	0.4761223	-0.2618813	-0.8651223	0.896412814	-0.006886386	-0.478423439	-0.506061673	-0.700439718	-0.033251806	-0.078426647	-0.065313359	-0.23259973	0.502500341	-0.441269041	0.105727507	1.093109404	2.755699328	3.788441812	3.233258115	3.291932189	4.071407523	3.445061534	4.233250937	4.147410957	1.905370442	2.97986679	0.460560138	2.319508987	4.343354653	2.051047606	2.612584403	4.706092504	2.326154744	-0.413850584	1.084921354	2.352255024	1.973103107	0.9313236	0.270010442	1.713730516	2.899508705	1.530712875	2.702172685	3.722612722	3.183903917	3.266981022	1.16550633	1.371396771	2.316689718	1.949373927	3.688192658	3.55439739	2.385604079	0.973581652	3.096861539	2.882697998	1.342761598	2.42227862	2.822657665	3.806734475	3.180595871	3.476573708
SPRR2C	-0.4169623	-0.0454313	0.9305483	0.3448283	-0.2209503	-0.0454313	-0.0543923	0.2545943	0.1596293	-0.2863043	0.2338883	-0.0439433	-0.1893513	-0.3183263	0.2252753	-0.0954203	-0.0086823	-0.0424573	-0.5670413	-0.126712935	0.230030139	-0.141355849	-0.084316286	-0.198127143	0.023321074	0.190486324	-0.229669587	0.113365853	0.107383535	-0.300081393	0.242074787	3.296787847	0.911604884	3.409854602	1.123514536	3.864683522	2.085729874	2.784399863	0.217476931	4.011265166	0.016240641	1.129756731	3.603358219	4.069340985	1.572879208	2.994112365	0.483104893	2.681111195	1.39086589	0.371094152	3.539440835	1.689571907	0.186601755	0.510445287	2.442168395	2.946501045	3.696127557	0.826149295	3.445689884	3.071587082	2.486679167	0.297680549	2.402484449	4.381138825	2.457560592	2.448726723	1.214724611	0.597901556	3.44548569	4.76631209	2.337804663	1.601885804	3.967055651	2.639619197	3.925705081	2.828690336	2.566445691	4.153731316
TSHZ2	0.5370483	1.4222333	1.7676553	1.0186343	1.3299853	0.9898663	1.6717463	0.5008023	0.6498453	0.6735563	1.9593993	0.1056783	1.8147553	0.3673713	0.9992783	1.4678013	1.0200583	1.7350893	0.9811223	0.952046777	0.815402948	1.995901432	0.350779787	1.010749241	1.94867861	1.048767875	1.462483068	1.56370488	0.457286347	1.303625186	0.16236765	-1.506032031	-1.540050079	-1.843495514	-2.17112077	-1.860634147	-1.801280408	-1.022441063	-1.285050826	-1.659804672	-2.375009272	-1.587597931	-1.793077293	-1.823880819	-2.142112344	-1.255257055	-2.189238476	-1.695871814	-2.086961784	-3.191318462	-2.290677161	-1.898304603	-1.747936712	2.070389328	-2.971171347	-0.787435382	-0.816345071	-2.733905794	-2.920096134	-2.833538854	-1.913585248	-2.95631015	-2.480761682	-3.121186347	-2.136538833	-2.23723093	-3.073413158	-2.967240252	-2.918295359	-3.194939209	-2.253756592	-3.039624875	-3.166485917	-3.749728104	-2.989983563	0.275025562	-3.002611213	-2.025928465
ALDH3A1	-3.5837633	-2.9476978	-3.3696383	-2.2546368	-2.8271408	-2.9049773	-2.8883753	-1.9871428	-2.4234428	-2.5426473	-3.1200218	-2.4659608	-3.5313733	-2.8085638	-2.8335633	-2.5655368	-2.5393248	-2.4719973	-2.9397553	-2.3946760235	-2.5051051505	-2.296928429	-2.321069636	-1.912872024	-2.5514446965	-1.8662094445	-2.720667854	-1.877097053	-2.8012671855	-1.907652631	0.759947931	1.1143154015	1.0251756075	-2.6486630635	3.152763614	0.1164451895	-3.0776179325	0.877296729	-2.4471721055	1.8470615105	1.1045155695	-1.950561405	-2.1514929725	-1.4746454775	-2.108435358	1.0033198715	-2.189980677	-2.5211217025	-2.17134053	-3.188383514	0.1592507185	0.161888164	-0.7592423555	-3.081871223	-2.8110793325	-0.143970046	-2.2788198335	-2.8489927195	-1.053292806	1.11564885	1.261898151	0.5849212385	-0.378698336	0.5978011085	1.6101483165	-1.489799236	1.918437722	-0.7786062045	-1.216011914	2.9696608475	-0.32113283	2.459100188	-3.288463917	-3.32551454	0.6571289385	-0.880093664	-3.143297411	1.256013782
PEBP4	0.0922073	0.7242143	1.0915313	-0.9885043	1.2003793	0.9433593	1.4651913	-0.6757653	0.6852673	0.3080113	1.1009783	0.2289733	0.2387873	1.2992453	0.2570113	1.2642363	-0.9296113	1.0614313	0.9597703	0.261160532	1.066968892	1.096759597	1.231617753	0.381937535	1.330290938	0.855639844	0.782059638	1.000235254	-0.057238385	0.389810353	-0.274916029	-1.594649698	-2.420914066	-2.443644003	-0.645947702	-1.208979704	-0.262184136	-0.436881888	-0.64513365	-1.601257964	-1.351634663	-1.124912716	-0.542284548	-2.210829336	0.186331198	-0.049762465	-1.912315598	-1.788302179	-1.825803085	-2.385897882	-2.696046612	-2.219466061	-1.9128514	-2.012939056	-2.526410318	-1.323761419	-0.228049612	-2.003210985	-1.828124551	-2.21490191	0.118441457	-2.250675164	-2.032247544	-1.919648586	-1.81369422	-1.859109482	-2.042169454	-2.354611905	-1.69738208	-2.679289883	0.222462545	-2.20785406	-3.002421849	-2.66196557	-1.46920122	-0.580343409	-2.16034437	-1.645716532
AKR1C3	-3.0350473	-2.3658713	-1.9885043	-1.4900513	-2.4422223	-2.1844253	-2.4188903	-2.5479323	-2.3959293	-2.7466163	-2.1778823	-2.3147333	-3.3364283	-2.7661123	-2.4035423	-2.0232703	-3.2653453	-2.1520033	-2.5063533	-2.348784054	-2.052246705	-2.77325459	-2.691532785	-2.810366882	-2.296554546	-0.671556944	-2.169155359	-2.370127723	-2.704321314	-2.621264485	0.076524492	2.225669848	2.36790416	-0.603904687	2.869840231	2.945552216	0.69419157	3.724245639	0.592047011	3.366145565	1.006182357	-0.684240183	-0.159724656	-0.256572303	-0.942412317	1.847689428	0.325752857	-0.674869082	-0.813612907	-3.525886709	1.459267393	3.919354513	2.020165552	-3.098913839	-3.530234692	1.498550421	-1.681923558	-3.774763782	2.622654458	2.925460879	2.778054604	1.404021158	1.773505572	2.775736688	0.45773723	1.094328573	2.732220592	0.07158141	-0.441237829	3.420974064	-2.327359574	3.174352189	-1.229254758	-1.960329173	0.695432518	-2.159739163	-0.202836362	1.353113115
FMO2	1.5641343	2.4165703	2.6459323	2.4841383	2.8993693	3.1095283	3.3897043	3.2837743	1.9679063	2.1641433	3.0969363	2.9905923	3.1833283	3.4784543	3.0678113	2.5454743	3.2433643	2.6649383	2.9726933	2.412015121	2.979977697	2.414838218	1.947388159	1.968640917	2.671813877	2.53826633	2.569625495	2.639908615	1.129091284	3.045779861	1.728905824	-0.883082248	1.70634174	-0.69808771	-0.203477561	0.274297269	0.023169164	0.316287051	0.074069674	0.14062906	-0.559242988	-0.332856177	0.008488208	-0.558388967	0.431821396	-0.353721148	-0.651096383	0.308634089	-0.151135698	-2.11398683	-1.154439754	-0.354589921	-0.076091949	-1.195232451	-1.126757142	0.013966179	1.085716909	-0.662451872	0.385209933	0.515632291	0.13594132	-0.120533665	1.029081064	-0.882010939	-0.305368614	0	-0.427748551	0.412793556	-0.348832279	-0.368644594	0.938599455	0.14847253	-1.682599891	-0.434677925	0.228124769	0.947822319	-0.786182585	0.768184325
PVRL4	0.0482363	-0.1218633	0.6968843	1.1420873	-0.2688173	0.0482363	0.2277413	1.2945473	-0.1140353	-0.3978283	0.4698863	1.3328513	-0.0740013	-0.2344653	0.6031223	0.1570443	0.0468403	-0.2670803	-0.3808223	0.392949879	0.191817607	0.234754922	1.065588342	0.397759508	-0.029594782	0.796655033	0.26529038	0.616833016	0.002935291	-0.138102277	0.871992388	3.643623791	2.097134183	3.07567565	3.541881107	3.403249819	1.608809243	2.594147493	1.026925106	3.123036266	0.861881468	0.632343804	2.672679968	1.796602111	1.32030584	1.68009881	1.220284758	2.451067635	2.597089258	-0.630842862	1.693619564	2.559241934	1.414421884	0.397963986	1.930942982	3.018888075	2.122995622	2.675592621	3.154063984	3.265127953	1.756123215	1.475134862	2.704587951	4.283844378	2.544428418	2.071429858	2.305216368	2.602104915	2.853103797	4.184424571	4.004092755	3.201995233	3.3509726	2.352540725	3.626586594	2.655792437	2.487994194	2.927023424
FAM75A1	0.2521733	1.1959773	1.9989183	1.0996323	1.5940713	1.5523773	1.8914193	0.5330653	0.9396033	1.3248113	1.8098263	0.9568003	1.6562683	2.1137003	0.9130333	1.8118823	1.1210153	2.2957233	1.3138263	1.45560653	1.750513747	1.602036014	0.912601325	1.67697471	1.87842958	1.719753722	1.271288592	2.165360697	0.911500852	1.067872113	0.253012973	-0.845506553	-0.838611956	-2.292438019	-0.79649299	-0.412547947	0.255064144	-0.892250627	-1.211738625	-1.535344064	-1.052990984	0.183252251	-0.624785091	-1.536329113	-0.301286486	-0.549964418	-1.590709189	-0.579563305	-0.707158772	-0.957083295	-0.241233759	-0.718515069	-0.503714826	-1.649713491	-2.879856335	-1.545439634	0.181526804	0.08519465	-1.252085248	-1.61515453	-0.767960961	-0.649744125	-0.766857193	-1.430091225	-0.789894575	-0.735295069	-0.435632409	0.787787335	-0.99459917	-1.283202365	-1.091336968	-1.527842305	-1.82947375	0.131732128	-0.825216202	0.874306331	-0.349131984	0.426389153
