Gene,Sample,Group,State,Count
Pno1,AL-1174,AL,Unmeth,166
Pno1,AL-1180,AL,Unmeth,116
Pno1,AL-1220,AL,Unmeth,108
Pno1,DR-1181,DR,Unmeth,188
Pno1,DR-1185,DR,Unmeth,204
Pno1,DR-1197,DR,Unmeth,248
Pnpla5,AL-1174,AL,Unmeth,287
Pnpla5,AL-1180,AL,Unmeth,121
Pnpla5,AL-1220,AL,Unmeth,163
Pnpla5,DR-1181,DR,Unmeth,144
Pnpla5,DR-1185,DR,Unmeth,116
Pnpla5,DR-1197,DR,Unmeth,173
Pno1,AL-1174,AL,Meth,443
Pno1,AL-1180,AL,Meth,276
Pno1,AL-1220,AL,Meth,305
Pno1,DR-1181,DR,Meth,332
Pno1,DR-1185,DR,Meth,320
Pno1,DR-1197,DR,Meth,342
Pnpla5,AL-1174,AL,Meth,254
Pnpla5,AL-1180,AL,Meth,97
Pnpla5,AL-1220,AL,Meth,187
Pnpla5,DR-1181,DR,Meth,224
Pnpla5,DR-1185,DR,Meth,240
Pnpla5,DR-1197,DR,Meth,334
