Probe_ID,Symbol,WT_1,WT_2,WT_3,KO_1,KO_2,KO_3
214956_at,AAK1,154,198,162,322,198,329
208636_at,ACTN1,133,187,162,324,240,280
201752_s_at,ADD3,170,160,155,230,195,318
201792_at,AEBP1,198,168,149,308,229,332
1556212_x_at,AIG1,147,191,178,289,239,234
1552895_a_at,ANKRD30B,149,132,187,230,283,262
232735_at,ANKRD34A,105,104,156,210,259,324
215241_at,ANO3,104,196,198,290,217,212
218139_s_at,AP5M1,147,185,109,205,244,332
203381_s_at,APOE,133,140,145,274,270,180
215716_s_at,ATP2B1,173,135,100,316,312,192
218820_at,C14orf132,111,190,134,256,210,311
218546_at,C1orf115,134,181,143,208,289,346
219506_at,C1orf54,128,119,121,246,316,265
241998_at,C2orf80,117,171,189,263,333,265
213875_x_at,C6orf62,102,117,116,218,290,320
202992_at,C7,142,180,158,341,275,319
211592_s_at,CACNA1C,124,162,145,183,331,269
210108_at,CACNA1D,104,103,184,314,265,234
200623_s_at,CALM3,184,188,120,256,302,329
225019_at,CAMK2D,110,157,142,342,328,252
227280_s_at,CCNYL1,109,107,128,314,293,330
230497_at,CELF5,176,186,186,204,228,348
212675_s_at,CEP68,105,164,172,325,260,331
217250_s_at,CHD5,165,152,157,268,315,183
231783_at,CHRM1,181,134,114,262,284,283
202712_s_at,CKMT1A,151,129,140,300,208,279
229084_at,CNTN4,187,129,128,308,350,214
219400_at,CNTNAP1,163,137,130,238,181,267
227468_at,CPT1C,145,100,115,290,301,224
1555889_a_at,CRTAP,111,151,191,199,229,182
1570176_at,CSMD1,106,185,168,302,185,236
200621_at,CSRP1,148,145,123,180,229,217
1560049_at,CUGBP2,196,120,119,279,235,242
213920_at,CUX2,194,113,152,232,220,205
209687_at,CXCL12,149,161,157,261,294,233
227702_at,CYP4X1,137,121,114,316,216,337
214788_x_at,DDN,118,136,109,232,228,319
208779_x_at,DDR1,138,158,116,296,338,193
214198_s_at,DGCR2,147,197,128,207,221,261
243303_at,ECHDC1,112,160,122,308,253,274
207768_at,EGR4,121,140,101,341,269,198
238073_at,ELAVL4,175,181,155,321,202,251
209473_at,ENTPD1,128,175,114,196,344,189
229892_at,EP400NL,185,127,199,293,320,332
200878_at,EPAS1,146,144,200,245,198,200
214945_at,FAM153A,153,147,156,266,209,202
242292_at,FAM226B,170,174,187,211,191,256
236029_at,FAT3,170,173,136,228,335,330
224840_at,FKBP5,156,177,193,190,188,313
239082_at,FZD3,129,159,197,295,208,327
209990_s_at,GABBR2,153,194,110,258,289,240
229724_at,GABRB3,177,103,173,342,325,209
230418_s_at,GALNTL1,124,142,197,232,240,349
204471_at,GAP43,115,133,145,312,344,303
202192_s_at,GAS7,109,130,113,254,187,291
64064_at,GIMAP5,108,181,193,314,290,323
227070_at,GLT8D2,165,140,109,212,238,285
208798_x_at,GOLGA8A,155,108,164,247,342,346
217565_at,GRIA3,108,164,170,198,308,234
202042_at,HARS,195,110,176,237,247,271
1556351_at,HCN1,151,171,157,189,345,208
228741_s_at,HCN3,198,102,126,304,315,275
237466_s_at,HHIP,174,179,109,275,335,302
232773_at,HIBCH,187,192,112,226,303,185
214290_s_at,HIST2H2AA3,140,189,170,243,322,210
209312_x_at,HLA-DRB1,104,197,194,216,220,230
208025_s_at,HMGA2,113,146,180,263,225,339
213793_s_at,HOMER1,128,183,118,198,277,291
213620_s_at,ICAM2,171,124,187,283,260,299
202411_at,IFI27,138,156,148,335,299,246
231179_at,IP6K3,118,186,179,259,270,317
1559650_at,JAZF1,151,130,162,248,214,306
231053_at,KCNB1,120,131,100,279,285,257
244113_at,KCNJ9,120,115,113,245,243,264
228414_at,KCNMA1,127,183,103,252,197,188
220294_at,KCNV1,181,172,200,209,235,301
212564_at,KCTD2,187,120,100,294,261,287
1558041_a_at,KIAA0895L,147,172,163,272,297,293
1561394_s_at,KIAA1755,139,146,149,240,204,299
202962_at,KIF13B,164,148,129,247,291,204
233799_at,KIFAP3,179,178,200,218,287,335
226791_at,KIFC2,152,107,150,244,237,198
201721_s_at,LAPTM5,100,132,126,254,257,181
235541_at,LAS1L,192,107,177,208,347,280
212658_at,LHFPL2,154,120,186,271,329,241
229349_at,LIN28B,192,123,155,306,266,262
232720_at,LINGO2,195,128,110,199,345,338
40472_at,LPCAT4,101,164,133,241,187,215
230644_at,LRFN5,188,160,116,281,267,258
223492_s_at,LRRFIP1,191,188,177,296,232,208
209840_s_at,LRRN3,141,160,161,315,295,192
239516_at,LYPLAL1,103,181,148,244,308,258
47550_at,LZTS1,162,187,182,194,292,306
229664_at,MAPK8,107,179,187,182,204,278
203929_s_at,MAPT,120,186,127,281,270,308
213045_at,MAST3,187,101,139,182,237,311
230498_at,MCHR1,171,100,115,318,237,309
229254_at,MFSD4,145,154,190,279,218,194
211026_s_at,MGLL,137,144,193,225,220,332
1558369_at,MPHOSPH9,139,136,159,342,345,276
242732_at,MTSS1,168,168,168,293,342,254
226203_at,MYO9A,175,137,187,201,325,196
221933_at,NLGN4X,183,177,187,204,206,332
222057_at,NOL12,191,142,139,247,202,260
213040_s_at,NPTXR,102,134,188,299,276,280
204105_s_at,NRCAM,158,155,192,223,252,267
218359_at,NRSN2,113,166,153,323,340,261
236750_at,NRXN3,162,136,192,204,205,185
238133_at,NTNG1,119,134,121,223,197,261
1554524_a_at,OLFM3,184,141,162,190,206,202
210448_s_at,P2RX5,198,135,180,203,214,193
208051_s_at,PAIP1,122,196,177,341,287,199
210721_s_at,PAK7,184,157,187,284,266,225
231887_s_at,PALD1,170,167,160,242,249,185
204209_at,PCYT1A,135,115,135,286,257,283
229354_at,PDCD6,101,127,198,251,225,350
1562473_at,PEX5L,177,131,116,228,244,350
228165_at,PIANP,189,113,142,189,324,301
242494_at,PLCB1,148,115,140,301,183,214
237483_at,PLEKHA5,137,166,177,346,234,191
227006_at,PPP1R14A,180,180,157,205,274,321
228964_at,PRDM1,161,116,105,346,198,212
213518_at,PRKCI,153,156,187,304,340,235
228396_at,PRKG1,144,142,189,331,315,236
229118_at,PRRG3,109,108,147,301,289,268
216214_at,PTPRD,172,121,168,314,193,311
202754_at,R3HDM1,152,122,185,303,230,199
203831_at,R3HDM2,137,195,133,328,275,347
218657_at,RAPGEFL1,150,144,139,229,282,305
230563_at,RASGEF1A,185,123,170,340,219,251
205590_at,RASGRP1,199,192,129,270,294,280
200885_at,RHOC,123,186,176,307,216,280
203431_s_at,RICS,169,164,197,248,261,294
216336_x_at,RNF19B,169,124,174,295,347,182
1559697_a_at,ROBO2,121,152,191,200,298,245
205529_s_at,RUNX1T1,185,192,124,232,267,248
227998_at,S100A16,139,193,100,216,335,233
229057_at,SCN2A,129,193,114,257,305,184
210432_s_at,SCN3A,189,129,154,240,340,308
204722_at,SCN3B,141,160,100,309,275,196
235969_at,SCN8A,111,142,119,192,249,348
209879_at,SELPLG,118,200,184,230,197,237
223362_s_at,Sep-03,149,128,111,344,234,280
217756_x_at,SERF2,190,168,194,267,334,253
219751_at,SETD6,168,166,160,302,276,312
235085_at,SGK223,170,155,165,280,303,235
203306_s_at,SLC35A1,191,196,155,291,262,329
200924_s_at,SLC3A2,183,122,134,320,308,195
206058_at,SLC6A12,133,145,186,219,335,182
211481_at,SLCO1A2,170,189,153,206,257,180
203516_at,SNTA1,180,181,112,184,293,199
212807_s_at,SORT1,168,172,198,267,330,228
218324_s_at,SPATS2,108,159,178,292,183,304
38487_at,STAB1,187,195,162,227,231,214
240048_at,STRC,155,114,156,182,273,350
230297_x_at,SYNGAP1,138,194,155,326,213,346
204287_at,SYNGR1,140,134,123,337,350,196
226388_at,TCEA3,130,110,122,203,301,279
204308_s_at,TECPR2,178,138,163,261,348,293
50221_at,TFEB,137,108,138,278,238,324
213869_x_at,THY1,156,117,170,339,328,229
223524_s_at,TMEM108,193,196,185,350,283,344
244579_at,TRPS1,178,187,189,325,285,349
237194_at,TSPAN5,119,162,134,287,291,300
202096_s_at,TSPO,197,109,194,331,274,241
224513_s_at,UBQLN4,158,172,125,280,295,231
202112_at,VWF,156,106,129,332,307,307
224562_at,WASF2,191,159,152,325,305,273
202031_s_at,WIPI2,116,111,162,278,347,340
219322_s_at,WRAP73,197,142,162,265,241,325
241731_x_at,ZNF440,132,198,178,200,268,263
55872_at,ZNF512B,185,179,170,321,277,267
229817_at,ZNF608,119,116,143,279,255,284
