Gene	Expression
Xkr4	-5.037614
Gm1992	-2.16719
Rp1	-6.964203
Sox17	-2.6723697
Mrpl15	3.3477063
Lypla1	1.8333502
Tcea1	0.17733116
Gm6104	-2.2471108
Rgs20	-6.2509136
Gm16041	-6.06443
Atp6v1h	6.4784703
Oprk1	-3.467466
Npbwr1	-3.3146272
Rb1cc1	1.5025134
4732440D04Rik	0.06795439
4732440D04Rik	1.7090113
Fam150a	-3.7190752
St18	-5.7142944
Pcmtd1	0.121249564
Gm16899	-1.4624261
Sntg1	-4.3978148
Rrs1	2.6447887
Adhfe1	-5.9009786
2610203C22Rik	-2.7259476
3110035E14Rik	-4.718288
Mybl1	2.2520351
Vcpip1	3.1078885
1700034P13Rik	2.4555416
Sgk3	-0.61051846
6030422M02Rik	0.4568734
Gm10567	2.4735649
Lrrc67	-4.774106
Gm15818	-3.558958
Cops5	4.5918546
Cspp1	2.945508
Arfgef1	4.7747116
Cpa6	-6.941187
Prex2	1.0457933
A830018L16Rik	-7.2064333
Gm17644	-5.8452625
Sulf1	1.2805182
Slco5a1	-2.860639
Prdm14	-5.5255866
Ncoa2	3.6452692
Tram1	5.251593
Lactb2	-1.7175789
Xkr9	-5.1127977
Eya1	-2.558518
Msc	-4.94708
Gm9947	-5.7131586
Trpa1	-2.9371312
Gm10566	-4.0137434
Kcnb2	-2.1453273
Kcnb2	-4.4534802
Terf1	3.2694194
Gm106	-5.473569
4930444P10Rik	-1.0599308
Rpl7	5.579102
Rdh10	3.326973
Stau2	3.844356
Gm7568	-4.1715117
Ube2w	2.8407829
Tceb1	3.006948
Gm16720	-5.4944177
Tmem70	4.181059
Ly96	-1.7004546
Jph1	2.2012935
Gdap1	-1.7647048
Pi15	-6.958379
Gm16070	-7.2281017
Crispld1	-5.189913
Crisp4	-5.619786
Defb18	-2.2126331
Defb41	-3.0686848
Gm15386	-1.8307625
Gm15825	-4.045327
Tcfap2d	-5.1336207
Tcfap2b	-6.8432317
Pkhd1	0.08787182
4930486I03Rik	-2.1154919
Il17a	-4.3949313
Il17f	-2.24539
Mcm3	6.0902476
6720483E21Rik	-2.593723
Paqr8	-1.3997394
Efhc1	3.5821266
Tram2	1.8207588
Tmem14a	-0.98978305
Gsta3	-2.9073834
Gm4956	-4.300885
Khdc1a	-5.005779
Khdc1c	-5.1277018
Khdc1b	-3.5982249
Kcnq5	-3.9630404
Gm16705	-5.082137
Rims1	1.1021233
4933415F23Rik	-0.52594656
Gm6420	-2.9156516
Ogfrl1	1.903371
B3gat2	3.7916777
Smap1	5.50167
1110058L19Rik	4.3186593
Fam135a	4.3034196
Col9a1	-3.5645397
Col19a1	-3.7990627
Gm10222	-2.415725
Gm10925	-3.793863
Lmbrd1	3.7131374
Bai3	-2.1653423
Gm9884	-4.4564342
4931408C20Rik	-6.2818904
Gm11161	-1.0215847
Gm597	-5.683205
Gm17684	-2.1786857
Gm9898	-4.3887577
Phf3	4.3003335
Ptp4a1	-0.002347494
Gm5698	-4.357489
Gm5699	-4.3862815
4931428L18Rik	-0.73683673
Lgsn	-1.9128147
4930521A18Rik	-1.5502447
Khdrbs2	-4.6097355
Gm9839	-4.6902504
Gm5415	-6.073311
Prim2	4.300325
1700001G17Rik	-0.6443493
Rab23	2.4161825
Bag2	-0.32841292
Zfp451	3.194845
Bend6	-1.3234102
Dst	3.2981756
Gm16750	0.42373773
Gm11158	-1.6022853
