Probe	Region	Methylation
0610005C13Rik	Gene_body	1.7589848
0610005C13Rik	Promoter	11.697676
0610007C21Rik	Gene_body	14.529601
0610007C21Rik	Promoter	24.150429
0610007L01Rik	Gene_body	66.26465
0610007L01Rik	Promoter	66.1392
0610007P08Rik	Gene_body	76.92305
0610007P08Rik	Promoter	3.3631067
0610007P14Rik	Gene_body	84.26937
0610007P14Rik	Promoter	3.699747
0610007P22Rik	Gene_body	4.4201355
0610007P22Rik	Promoter	0.84825647
0610008F07Rik	Gene_body	15.867483
0610008F07Rik	Promoter	3.3086705
0610009B14Rik	Gene_body	3.0112355
0610009B14Rik	Promoter	0.44286898
0610009B22Rik	Gene_body	36.390057
0610009B22Rik	Promoter	1.2102002
0610009D07Rik	Gene_body	62.569893
0610009D07Rik	Promoter	1.6601156
0610009E02Rik	Gene_body	42.471153
0610009E02Rik	Promoter	0.501355
0610009L18Rik	Gene_body	1.5175939
0610009L18Rik	Promoter	14.008686
0610009O20Rik	Gene_body	83.361755
0610009O20Rik	Promoter	14.41436
0610010F05Rik	Gene_body	74.88002
0610010F05Rik	Promoter	14.312484
0610010K14Rik	Gene_body	37.96119
0610010K14Rik	Promoter	0.6414591
0610010O12Rik	Gene_body	21.88497
0610010O12Rik	Promoter	6.1371593
0610011F06Rik	Gene_body	74.18904
0610011F06Rik	Promoter	0.60737103
0610011L14Rik	Gene_body	73.4284
0610011L14Rik	Promoter	0.35719514
0610012D04Rik	Gene_body	98.29992
0610012D04Rik	Promoter	99.79211
0610012H03Rik	Gene_body	62.803017
0610012H03Rik	Promoter	95.40654
0610025J13Rik	Gene_body	4.4041505
0610025J13Rik	Promoter	1.4702381
0610030E20Rik	Gene_body	38.548904
0610030E20Rik	Promoter	0.64606744
0610031J06Rik	Gene_body	91.00486
0610031J06Rik	Promoter	58.602993
0610037L13Rik	Gene_body	64.08489
0610037L13Rik	Promoter	15.022881
0610037P05Rik	Gene_body	78.76075
0610037P05Rik	Promoter	0.39832956
0610038L08Rik	Gene_body	97.26166
0610038L08Rik	Promoter	96.12425
0610038P03Rik	Gene_body	1.7060213
0610038P03Rik	Promoter	1.084915
0610039K10Rik	Gene_body	0.44444445
0610039K10Rik	Promoter	11.633814
0610040B09Rik	Gene_body	1.0221573
0610040B09Rik	Promoter	1.4100869
0610040B10Rik	Gene_body	5.7461963
0610040B10Rik	Promoter	33.02259
0610040F04Rik	Gene_body	64.35137
0610040F04Rik	Promoter	0.63706976
0610040J01Rik	Gene_body	25.168743
0610040J01Rik	Promoter	0.75129336
0610043K17Rik	Gene_body	12.230343
0610043K17Rik	Promoter	40.3851
0910001L09Rik	Gene_body	58.445145
0910001L09Rik	Promoter	1.6403062
1010001B22Rik	Gene_body	0.8333333
1010001B22Rik	Promoter	3.0296094
1010001N08Rik	Gene_body	0.68772143
1010001N08Rik	Promoter	0.8886055
1100001G20Rik	Gene_body	6.807564
1100001G20Rik	Promoter	1.5256734
1110001A16Rik	Gene_body	48.98472
1110001A16Rik	Promoter	0.79680735
1110001J03Rik	Gene_body	18.378273
1110001J03Rik	Promoter	0.83897597
1110002B05Rik	Gene_body	52.154125
1110002B05Rik	Promoter	0.8655255
1110002E22Rik	Gene_body	2.2217116
1110002E22Rik	Promoter	0.48185948
1110002J07Rik	Gene_body	2.7648306
1110002J07Rik	Promoter	1.1352987
1110002L01Rik	Gene_body	86.60582
1110002L01Rik	Promoter	1.089794
1110002N22Rik	Gene_body	62.060276
1110002N22Rik	Promoter	1.4958615
1110003E01Rik	Gene_body	63.809124
1110003E01Rik	Promoter	1.5159459
1110003O08Rik	Gene_body	97.64767
1110003O08Rik	Promoter	97.59522
1110004E09Rik	Gene_body	66.797325
1110004E09Rik	Promoter	3.0749645
1110004F10Rik	Gene_body	68.90767
1110004F10Rik	Promoter	1.8560605
1110005A03Rik	Gene_body	16.537907
1110005A03Rik	Promoter	5.098049
1110006G14Rik	Gene_body	1.1498467
1110006G14Rik	Promoter	1.337892
1110007C09Rik	Gene_body	8.13434
1110007C09Rik	Promoter	0.8810399
1110008E08Rik	Gene_body	39.198685
1110008E08Rik	Promoter	76.14606
1110008F13Rik	Gene_body	61.30341
1110008F13Rik	Promoter	0.9729064
1110008J03Rik	Gene_body	59.518295
1110008J03Rik	Promoter	1.5644704
1110008L16Rik	Gene_body	67.280045
1110008L16Rik	Promoter	12.0802765
1110008P14Rik	Gene_body	45.625645
1110008P14Rik	Promoter	1.1000249
1110012D08Rik	Gene_body	94.14274
1110012D08Rik	Promoter	7.247251
1110012J17Rik	Gene_body	26.980244
1110012J17Rik	Promoter	1.1611522
1110012L19Rik	Gene_body	41.218765
1110012L19Rik	Promoter	3.5317461
1110014N23Rik	Gene_body	75.90814
1110014N23Rik	Promoter	57.583965
1110017D15Rik	Gene_body	3.4893394
1110017D15Rik	Promoter	71.3579
1110017F19Rik	Gene_body	97.42287
1110017F19Rik	Promoter	96.975204
1110018G07Rik	Gene_body	89.8587
1110018G07Rik	Promoter	19.89125
1110018J18Rik	Gene_body	35.22544
1110018J18Rik	Promoter	0.41025642
1110018N20Rik	Gene_body	0.8411589
1110018N20Rik	Promoter	1.0429195
1110019D14Rik	Gene_body	60.444187
1110019D14Rik	Promoter	33.95723
1110020A21Rik	Gene_body	0.7248209
1110020A21Rik	Promoter	0.40750304
1110020G09Rik	Gene_body	68.07016
1110020G09Rik	Promoter	0.24853802
1110021J02Rik	Gene_body	52.730473
1110021J02Rik	Promoter	4.3734484
1110021L09Rik	Gene_body	92.6693
1110021L09Rik	Promoter	93.77409
1110028C15Rik	Gene_body	76.755516
1110028C15Rik	Promoter	0.1635992
1110028F11Rik	Gene_body	2.2284646
1110028F11Rik	Promoter	2.5038652
1110031I02Rik	Gene_body	77.036064
1110031I02Rik	Promoter	1.1269071
1110032A03Rik	Gene_body	56.133907
1110032A03Rik	Promoter	0.6799809
1110032A04Rik	Gene_body	80.4762
1110032A04Rik	Promoter	21.2792
1110032F04Rik	Gene_body	0.8023104
1110032F04Rik	Promoter	0.6853093
1110034A24Rik	Gene_body	23.186651
1110034A24Rik	Promoter	72.46084
1110034B05Rik	Gene_body	55.157867
1110034B05Rik	Promoter	13.275567
1110034G24Rik	Gene_body	55.05628
1110034G24Rik	Promoter	0.47138047
1110035M17Rik	Gene_body	4.695302
1110035M17Rik	Promoter	3.0998347
1110036E04Rik	Gene_body	1.4550596
1110036E04Rik	Promoter	0.71233416
1110037F02Rik	Gene_body	80.48237
1110037F02Rik	Promoter	1.2024087
1110038B12Rik	Gene_body	22.986637
1110038B12Rik	Promoter	0
1110038D17Rik	Gene_body	49.81622
1110038D17Rik	Promoter	36.951427
1110038F14Rik	Gene_body	7.265349
1110038F14Rik	Promoter	1.0582011
1110046J04Rik	Gene_body	97.56485
1110046J04Rik	Promoter	97.60989
1110049F12Rik	Gene_body	66.6867
1110049F12Rik	Promoter	0.41886863
1110050K14Rik	Gene_body	1.9918147
1110050K14Rik	Promoter	1.044465
1110051M20Rik	Gene_body	47.055855
1110051M20Rik	Promoter	0.34013608
1110054M08Rik	Gene_body	15.973595
1110054M08Rik	Promoter	0.97864705
1110054O05Rik	Gene_body	47.798325
1110054O05Rik	Promoter	74.902275
1110057K04Rik	Gene_body	88.67502
1110057K04Rik	Promoter	3.645599
1110058L19Rik	Gene_body	63.31114
1110058L19Rik	Promoter	1.7465129
1110059E24Rik	Gene_body	77.150375
1110059E24Rik	Promoter	0.60925233
1110059G10Rik	Gene_body	24.654222
1110059G10Rik	Promoter	8.957009
1110059M19Rik	Gene_body	84.74252
1110059M19Rik	Promoter	91.66667
1110065P20Rik	Gene_body	1.1639099
1110065P20Rik	Promoter	2.917014
1110067D22Rik	Gene_body	47.41578
1110067D22Rik	Promoter	1
1190002H23Rik	Gene_body	1.5604004
1190002H23Rik	Promoter	1.4658359
1190002N15Rik	Gene_body	42.38493
1190002N15Rik	Promoter	4.0459204
1190003J15Rik	Gene_body	1.8103615
1190003J15Rik	Promoter	3.0263157
1190005F20Rik	Gene_body	76.03524
1190005F20Rik	Promoter	5.2142386
1190005I06Rik	Gene_body	64.25327
1190005I06Rik	Promoter	7.6653967
1190007F08Rik	Gene_body	62.245033
1190007F08Rik	Promoter	12.843916
1190007I07Rik	Gene_body	15.659136
1190007I07Rik	Promoter	0.8016878
1200007C13Rik	Gene_body	2.0964143
1200007C13Rik	Promoter	1.2614409
1200009I06Rik	Gene_body	1.5602936
1200009I06Rik	Promoter	1.3065175
1200011I18Rik	Gene_body	79.971245
1200011I18Rik	Promoter	1.2364215
1200011M11Rik	Gene_body	17.407932
1200011M11Rik	Promoter	3.5892856
1200014J11Rik	Gene_body	71.25318
1200014J11Rik	Promoter	6.9632206
1200016B10Rik	Gene_body	82.24136
1200016B10Rik	Promoter	1.8720155
1300001I01Rik	Gene_body	76.25084
1300001I01Rik	Promoter	0.51600456
1300002E11Rik	Gene_body	50.53958
1300002E11Rik	Promoter	1.0003037
1300002K09Rik	Gene_body	79.44063
1300002K09Rik	Promoter	55.632706
1300010F03Rik	Gene_body	87.70171
1300010F03Rik	Promoter	0.17361112
1300014I06Rik	Gene_body	27.757458
1300014I06Rik	Promoter	0.63473344
1300015D01Rik	Gene_body	3.134342
1300015D01Rik	Promoter	1.7355099
1300017J02Rik	Gene_body	22.477652
1300017J02Rik	Promoter	8.44271
1300018I17Rik	Gene_body	70.72416
1300018I17Rik	Promoter	8.890283
1300018J18Rik	Gene_body	60.526203
1300018J18Rik	Promoter	8.91268
1500001M20Rik	Gene_body	89.70868
1500001M20Rik	Promoter	1.1494819
1500002F19Rik	Gene_body	12.061784
1500002F19Rik	Promoter	1.7129505
1500002O10Rik	Gene_body	4.111808
1500002O10Rik	Promoter	1.0136595
1500002O20Rik	Gene_body	86.14907
1500002O20Rik	Promoter	2.2612145
1500003O03Rik	Gene_body	84.63982
1500003O03Rik	Promoter	0.5085807
1500009C09Rik	Gene_body	41.17303
1500009C09Rik	Promoter	80.98727
1500009L16Rik	Gene_body	4.9444613
1500009L16Rik	Promoter	1.5768535
1500010J02Rik	Gene_body	85.45483
1500010J02Rik	Promoter	2.4465246
1500011H22Rik	Gene_body	53.262917
1500011H22Rik	Promoter	13.208535
1500011K16Rik	Gene_body	2.4520254
1500011K16Rik	Promoter	4.2064934
1500012F01Rik	Gene_body	1.4610392
