Probe	Chromosome	Start	End	Strand
Xkr4	1	3195982	3661579	-
Gm1992	1	3456668	3503634	+
Rp1	1	4334224	4350473	-
Sox17	1	4481009	4486494	-
Mrpl15	1	4763287	4775820	-
Lypla1	1	4797869	4876851	+
Tcea1	1	4847775	4887987	+
Gm6104	1	4869283	4870750	-
Rgs20	1	4899657	5060366	-
Gm16041	1	4960938	4966901	+
Atp6v1h	1	5073254	5152630	+
Oprk1	1	5578574	5596212	+
Npbwr1	1	5903788	5907479	-
Rb1cc1	1	6196278	6266729	+
4732440D04Rik	1	6203374	6204671	-
4732440D04Rik	1	6204693	6205373	-
Fam150a	1	6349537	6384812	+
St18	1	6477312	6851021	+
Pcmtd1	1	7079001	7163707	+
Gm16899	1	7339487	7387882	-
Sntg1	1	8351556	9289959	-
Rrs1	1	9535489	9537535	+
Adhfe1	1	9538029	9568051	+
2610203C22Rik	1	9550913	9621256	-
3110035E14Rik	1	9591280	9617224	+
Mybl1	1	9657496	9690290	-
Vcpip1	1	9708703	9738463	-
1700034P13Rik	1	9737729	9782003	+
Sgk3	1	9788211	9892637	+
6030422M02Rik	1	9898719	9932166	+
Gm10567	1	9950252	9952890	-
Lrrc67	1	9958705	9999217	-
Gm15818	1	9972468	9982447	+
Cops5	1	10014683	10028208	-
Cspp1	1	10028299	10126849	+
Arfgef1	1	10127652	10222751	-
Cpa6	1	10314801	10710026	-
Prex2	1	10983546	11293763	+
A830018L16Rik	1	11404186	11965982	+
Gm17644	1	12657644	12663171	+
Sulf1	1	12708626	12850452	+
Slco5a1	1	12856630	12981258	-
Prdm14	1	13103538	13117244	-
Ncoa2	1	13129186	13364164	-
Tram1	1	13554783	13579945	-
Lactb2	1	13614926	13650627	-
Xkr9	1	13658852	13691804	+
Eya1	1	14159035	14300281	-
Msc	1	14743427	14746047	-
Gm9947	1	14745535	14748454	+
Trpa1	1	14862729	14908943	-
Gm10566	1	15258880	15259878	-
Kcnb2	1	15302533	15701710	+
Kcnb2	1	15702384	15706448	+
Terf1	1	15795739	15833551	+
Gm106	1	15843943	15882803	-
4930444P10Rik	1	16056060	16083406	-
Rpl7	1	16091376	16094743	-
Rdh10	1	16095855	16123815	+
Stau2	1	16218755	16510193	-
Gm7568	1	16243673	16258002	+
Ube2w	1	16559863	16609570	-
Tceb1	1	16632847	16646946	-
Gm16720	1	16647633	16652359	+
Tmem70	1	16655272	16668356	+
Ly96	1	16678537	16699686	+
Jph1	1	16987545	17087879	-
Gdap1	1	17135443	17154352	+
Pi15	1	17591982	17621019	+
Gm16070	1	17666108	17717727	-
Crispld1	1	17717126	17756425	+
Crisp4	1	18105272	18135983	-
Defb18	1	18226554	18227524	-
Defb41	1	18241061	18255219	-
Gm15386	1	18250605	18255161	-
Gm15825	1	19053380	19094921	-
Tcfap2d	1	19093103	19156427	+
Tcfap2b	1	19198995	19228815	+
Pkhd1	1	20047860	20608145	-
4930486I03Rik	1	20371174	20382381	+
Il17a	1	20720986	20724577	+
Il17f	1	20767232	20774351	-
Mcm3	1	20793055	20810359	-
6720483E21Rik	1	20878731	20880554	-
Paqr8	1	20880691	20929632	+
Efhc1	1	20941707	20980919	+
Tram2	1	20986377	21069310	-
Tmem14a	1	21208656	21220248	+
Gsta3	1	21230670	21255442	+
Gm4956	1	21275327	21288393	-
Khdc1a	1	21339722	21342281	+
Khdc1c	1	21358412	21360926	+
Khdc1b	1	21373637	21376465	+
Kcnq5	1	21388484	21952023	-
Gm16705	1	21949923	21952611	+
